DEVICETYPENAME,JS_SIZE,TTI,FREQ
Desktop,3170000,7995.500,388
Desktop,3400000,6492.000,386
Desktop,3390000,5575.500,384
Desktop,4280000,6436.000,384
Desktop,3570000,5626.000,381
Desktop,4470000,7168.500,380
Desktop,4370000,7798.000,379
Tablet,1420000,15511.000,367
Desktop,3670000,7038.500,362
Desktop,7400000,3953.000,361
Tablet,1290000,15427.000,360
Desktop,3280000,6770.000,359
Desktop,3450000,7500.000,358
Mobile,2720000,20553.500,356
Desktop,8270000,6590.500,356
Desktop,3620000,6320.000,355
Mobile,2290000,10636.000,350
Mobile,1680000,12107.000,349
Mobile,2690000,15184.000,349
Mobile,2210000,11454.000,347
Desktop,5740000,6860.000,347
Mobile,2230000,12587.000,345
Desktop,3260000,6494.000,342
Desktop,3850000,8777.000,339
Desktop,5810000,5946.000,335
Tablet,1220000,17320.000,333
Desktop,3230000,6159.000,333
Desktop,4160000,7681.500,332
Desktop,4500000,7689.500,332
Mobile,1690000,15892.000,331
Desktop,5980000,8821.000,328
Tablet,2000000,17482.500,328
Desktop,3350000,6735.500,326
Mobile,2250000,10930.000,325
Desktop,7390000,4870.000,325
Desktop,3360000,7378.000,325
Desktop,3590000,6150.000,321
Desktop,3610000,6369.000,321
Desktop,3560000,6224.000,320
Desktop,3470000,5407.000,319
Desktop,3320000,7687.000,319
Desktop,4150000,9062.500,316
Desktop,8280000,6753.000,313
Desktop,3290000,7637.500,312
Desktop,3340000,6460.500,304
Tablet,1910000,15010.000,304
Tablet,1930000,12485.000,302
Tablet,1880000,14045.000,299
Desktop,8360000,6386.500,296
Tablet,2640000,27942.500,294
Desktop,3220000,7349.000,289
Desktop,3810000,8764.000,289
